"token","democratic","republican","ratio_demo","ratio_repu","odds_ratio","log_odd_ratio","party"
"globe",7,0,0.00178930887944531,0.000196386488609584,9.11116081413554,2.20950012512315,"democratic"
"covenant",6,0,0.00156564526951465,0.000196386488609584,7.9722657123686,2.07596873249863,"democratic"
"path",6,0,0.00156564526951465,0.000196386488609584,7.9722657123686,2.07596873249863,"democratic"
"commerce",5,0,0.00134198165958399,0.000196386488609584,6.83337061060165,1.92181805267137,"democratic"
"forebear",5,0,0.00134198165958399,0.000196386488609584,6.83337061060165,1.92181805267137,"democratic"
"truth",11,1,0.00268396331916797,0.000392772977219167,6.83337061060165,1.92181805267137,"democratic"
"winter",5,0,0.00134198165958399,0.000196386488609584,6.83337061060165,1.92181805267137,"democratic"
"foe",4,0,0.00111831804965332,0.000196386488609584,5.69447550883471,1.73949649587742,"democratic"
"posterity",4,0,0.00111831804965332,0.000196386488609584,5.69447550883471,1.73949649587742,"democratic"
"resource",4,0,0.00111831804965332,0.000196386488609584,5.69447550883471,1.73949649587742,"democratic"
"sake",4,0,0.00111831804965332,0.000196386488609584,5.69447550883471,1.73949649587742,"democratic"
"season",4,0,0.00111831804965332,0.000196386488609584,5.69447550883471,1.73949649587742,"democratic"
"virus",4,0,0.00111831804965332,0.000196386488609584,5.69447550883471,1.73949649587742,"democratic"
"policy",0,12,0.000223663609930664,0.00255302435192459,0.087607315520534,-2.43489077401822,"republican"
"compassion",0,8,0.000223663609930664,0.00176747839748625,0.126543900196327,-2.0671659938929,"republican"
"system",1,15,0.000447327219861329,0.00314218381775334,0.142361887720868,-1.94938295823652,"republican"
"inflation",0,6,0.000223663609930664,0.00137470542026709,0.16269930025242,-1.815851565612,"republican"
"money",0,6,0.000223663609930664,0.00137470542026709,0.16269930025242,-1.815851565612,"republican"
"goal",1,12,0.000447327219861329,0.00255302435192459,0.175214631041068,-1.74174359345828,"republican"
"need",1,11,0.000447327219861329,0.002356637863315,0.18981585029449,-1.66170088578474,"republican"
"ten",0,5,0.000223663609930664,0.0011783189316575,0.18981585029449,-1.66170088578474,"republican"
"tradition",0,5,0.000223663609930664,0.0011783189316575,0.18981585029449,-1.66170088578474,"republican"
"commitment",1,10,0.000447327219861329,0.00216025137470542,0.207071836684899,-1.57468950879511,"republican"
"tax",1,10,0.000447327219861329,0.00216025137470542,0.207071836684899,-1.57468950879511,"republican"
